Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1ASIAN,0ASIAN
PanGI,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,252,90,13,16
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,175,130,11,5
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,120,146,11,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,621,83,77,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,380,159,17,9
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,251,193,6,8
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,188,204,5,9
BLCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,157,75,22,7
BLCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,77,107,7,8
BRCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,264,53,7,5
BRCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,191,63,6,5
ESCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,39,17,18,18
LIHC,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,50,34,14,25
LIHC,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,20,54,5,24
STAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,127,38,34,15
STAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,57,64,9,17
STES,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,166,55,52,33
STES,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,78,88,9,37
PanGI,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,428,106,62,35
PanGI,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,230,167,10,39
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,268,195,21,10
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,167,229,13,11
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,118,240,10,12
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,79,248,10,12
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,586,171,54,30
