Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1BLACK,0BLACK
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,108,227,21,46
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,71,234,18,46
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,533,161,37,23
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,310,243,20,31
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,203,269,16,31
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,154,280,12,34
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,101,294,10,34
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,287,19,56,5
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,3,215,25,40,6
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,4,159,31,30,8
BRCA,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,5,116,37,23,8
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,41,9,13,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,3,29,10,7,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,4,19,12,5,5
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,5,14,12,5,5
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,66,28,11,5
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,3,46,33,7,7
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,3,80,30,14,8
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,4,58,30,11,9
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,5,37,31,9,9
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,1,148,8,45,5
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,112,14,23,6
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,3,85,18,13,6
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,4,69,21,10,6
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,5,53,22,8,6
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,1,344,28,68,7
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,211,85,39,12
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,3,131,108,20,19
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,4,93,113,17,20
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,5,61,118,15,20
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,2,192,48,10,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,3,119,59,8,5
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,4,90,60,7,6
PanSCCs,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",DFI,5,60,68,5,6
