Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1BLACK,0BLACK
BLCA,"('Protein', 'mRNA', 'MicroRNA')",OS,1,193,51,11,6
BRCA,"('Protein', 'mRNA', 'MicroRNA')",OS,2,375,24,68,6
BRCA,"('Protein', 'mRNA', 'MicroRNA')",OS,3,277,44,49,9
BRCA,"('Protein', 'mRNA', 'MicroRNA')",OS,4,206,56,38,10
BRCA,"('Protein', 'mRNA', 'MicroRNA')",OS,5,157,68,28,10
COAD,"('Protein', 'mRNA', 'MicroRNA')",OS,2,128,45,15,6
COAD,"('Protein', 'mRNA', 'MicroRNA')",OS,3,67,52,6,7
HNSC,"('Protein', 'mRNA', 'MicroRNA')",OS,1,130,38,15,6
HNSC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,86,70,8,9
HNSC,"('Protein', 'mRNA', 'MicroRNA')",OS,3,66,83,5,11
KIRC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,260,69,21,5
KIRC,"('Protein', 'mRNA', 'MicroRNA')",OS,3,210,92,16,7
KIRC,"('Protein', 'mRNA', 'MicroRNA')",OS,4,161,110,14,7
KIRC,"('Protein', 'mRNA', 'MicroRNA')",OS,5,108,125,8,10
KIRP,"('Protein', 'mRNA', 'MicroRNA')",OS,2,87,11,18,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",OS,3,62,14,12,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",OS,4,49,17,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",OS,5,35,20,7,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,1,233,37,31,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,2,144,65,18,10
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,3,88,88,11,12
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,4,51,102,7,14
LUAD,"('Protein', 'mRNA', 'MicroRNA')",OS,5,30,114,7,14
LUSC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,136,64,7,5
LUSC,"('Protein', 'mRNA', 'MicroRNA')",OS,3,92,80,7,5
OV,"('Protein', 'mRNA', 'MicroRNA')",OS,2,131,39,12,5
OV,"('Protein', 'mRNA', 'MicroRNA')",OS,3,97,62,8,8
OV,"('Protein', 'mRNA', 'MicroRNA')",OS,4,65,89,5,10
SARC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,120,36,7,5
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,1,246,13,73,5
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,2,168,26,45,7
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,3,114,36,27,11
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,4,83,41,19,14
UCEC,"('Protein', 'mRNA', 'MicroRNA')",OS,5,53,43,14,14
COADREAD,"('Protein', 'mRNA', 'MicroRNA')",OS,2,176,57,17,6
COADREAD,"('Protein', 'mRNA', 'MicroRNA')",OS,3,93,66,7,7
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,1,480,53,73,8
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,2,391,83,42,10
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,3,310,111,31,12
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,4,247,132,23,12
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",OS,5,176,151,16,15
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,2,267,158,21,9
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,3,131,184,9,11
PanGI,"('Protein', 'mRNA', 'MicroRNA')",OS,4,67,200,5,11
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,1,526,38,107,11
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,2,374,88,67,19
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,3,253,132,42,26
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,4,180,166,29,33
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",OS,5,124,186,21,36
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,1,663,147,50,17
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,2,404,266,25,29
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,3,267,321,19,32
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,4,201,339,13,37
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",OS,5,143,350,11,37
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,359,15,68,5
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,262,28,49,8
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,194,32,38,8
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,149,37,28,8
COAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,120,33,15,5
COAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,61,36,6,6
HNSC,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,120,22,14,5
HNSC,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,80,43,8,6
HNSC,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,63,50,5,6
KIRC,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,105,85,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,85,10,18,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,61,10,12,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,48,13,8,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,34,14,7,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,213,16,30,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,129,33,17,9
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,77,50,10,11
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,44,56,7,12
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,25,61,7,12
OV,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,121,30,12,5
OV,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,89,51,8,8
OV,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,62,73,5,10
SARC,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,117,30,7,5
UCEC,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,167,16,45,6
UCEC,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,113,23,27,9
UCEC,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,83,26,19,11
UCEC,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,53,27,14,11
COADREAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,163,40,17,5
COADREAD,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,84,43,7,6
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,471,39,72,7
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,383,62,41,9
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,306,79,30,9
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,243,93,22,9
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,172,103,16,10
PanGI,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,252,90,21,8
PanGI,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,122,103,9,9
PanGI,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,61,110,5,9
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,508,22,107,10
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,360,66,67,18
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,242,104,42,24
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,175,130,29,30
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,120,146,21,33
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,1,621,83,48,13
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,2,380,159,25,22
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,3,251,193,19,22
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,4,188,204,13,26
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DSS,5,132,210,11,26
BLCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,157,75,6,9
BRCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,538,19,113,5
BRCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,362,35,66,8
BRCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,264,53,49,9
BRCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,191,63,37,12
BRCA,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,140,74,28,12
COAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,188,39,37,8
COAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,113,60,12,12
HNSC,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,115,40,14,6
HNSC,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,79,57,7,8
HNSC,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,63,61,5,8
KIRC,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,273,68,31,5
KIRC,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,217,96,19,7
KIRC,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,176,107,14,7
KIRC,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,133,116,10,9
KIRC,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,86,122,5,10
KIRP,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,114,15,32,8
KIRP,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,76,22,16,11
KIRP,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,51,26,10,11
KIRP,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,39,28,6,11
KIRP,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,28,29,5,11
LGG,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,133,92,8,8
LUAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,207,44,30,6
LUAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,107,86,15,14
LUAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,68,102,9,17
LUSC,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,190,34,9,5
LUSC,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,118,61,5,7
LUSC,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,80,71,5,7
OV,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,125,51,11,8
SARC,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,111,67,9,5
SARC,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,77,84,6,6
UCEC,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,226,27,70,7
UCEC,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,147,49,41,12
UCEC,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,96,59,23,18
UCEC,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,69,62,17,20
UCEC,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,44,63,13,20
GBMLGG,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,133,92,8,8
COADREAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,262,51,39,8
COADREAD,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,152,79,14,12
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,431,87,67,13
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,334,123,38,18
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,264,139,27,18
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,208,150,17,20
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,147,157,11,21
PanGI,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,428,106,45,10
PanGI,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,230,167,18,16
PanGI,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,109,183,6,17
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,452,100,96,21
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,268,195,52,36
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,167,229,31,43
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,118,240,23,47
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,79,248,19,47
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,1,586,171,40,23
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,348,262,20,32
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,3,233,292,16,32
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,4,177,304,12,35
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,5,116,319,10,35
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,302,21,57,5
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DFI,3,226,28,41,6
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DFI,4,164,34,31,8
BRCA,"('Protein', 'mRNA', 'MicroRNA')",DFI,5,118,41,23,8
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,48,9,13,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DFI,3,34,10,7,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DFI,4,24,12,5,5
KIRP,"('Protein', 'mRNA', 'MicroRNA')",DFI,5,17,12,5,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,77,32,11,5
LUAD,"('Protein', 'mRNA', 'MicroRNA')",DFI,3,55,37,7,7
UCEC,"('Protein', 'mRNA', 'MicroRNA')",DFI,3,88,31,16,8
UCEC,"('Protein', 'mRNA', 'MicroRNA')",DFI,4,64,32,13,9
UCEC,"('Protein', 'mRNA', 'MicroRNA')",DFI,5,41,33,10,9
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DFI,1,155,8,45,5
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,119,14,23,6
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DFI,3,90,18,13,6
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DFI,4,74,21,10,6
KIPAN,"('Protein', 'mRNA', 'MicroRNA')",DFI,5,56,22,8,6
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,1,364,28,72,7
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,226,88,41,13
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,3,143,112,22,20
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,4,102,118,19,21
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,5,67,124,16,21
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,221,57,10,6
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DFI,3,143,69,8,6
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DFI,4,110,70,7,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DFI,5,75,78,5,7
BLCA,"('Protein', 'mRNA', 'Methylation')",OS,1,186,50,11,6
BRCA,"('Protein', 'mRNA', 'Methylation')",OS,2,359,22,67,6
BRCA,"('Protein', 'mRNA', 'Methylation')",OS,3,265,41,49,9
BRCA,"('Protein', 'mRNA', 'Methylation')",OS,4,202,51,38,10
BRCA,"('Protein', 'mRNA', 'Methylation')",OS,5,154,63,29,10
COAD,"('Protein', 'mRNA', 'Methylation')",OS,2,90,22,15,6
COAD,"('Protein', 'mRNA', 'Methylation')",OS,3,50,30,6,7
HNSC,"('Protein', 'mRNA', 'Methylation')",OS,1,129,38,14,6
HNSC,"('Protein', 'mRNA', 'Methylation')",OS,2,86,69,8,9
HNSC,"('Protein', 'mRNA', 'Methylation')",OS,3,66,82,5,11
KIRC,"('Protein', 'mRNA', 'Methylation')",OS,2,264,71,21,5
KIRC,"('Protein', 'mRNA', 'Methylation')",OS,3,214,94,16,7
KIRC,"('Protein', 'mRNA', 'Methylation')",OS,4,164,111,14,7
KIRC,"('Protein', 'mRNA', 'Methylation')",OS,5,112,126,8,10
KIRP,"('Protein', 'mRNA', 'Methylation')",OS,2,78,10,18,5
KIRP,"('Protein', 'mRNA', 'Methylation')",OS,3,55,13,12,5
KIRP,"('Protein', 'mRNA', 'Methylation')",OS,4,42,16,8,5
KIRP,"('Protein', 'mRNA', 'Methylation')",OS,5,30,19,7,5
LUAD,"('Protein', 'mRNA', 'Methylation')",OS,1,209,28,31,5
LUAD,"('Protein', 'mRNA', 'Methylation')",OS,2,125,55,18,10
LUAD,"('Protein', 'mRNA', 'Methylation')",OS,3,76,77,11,12
LUAD,"('Protein', 'mRNA', 'Methylation')",OS,4,41,90,7,14
LUAD,"('Protein', 'mRNA', 'Methylation')",OS,5,23,100,7,14
LUSC,"('Protein', 'mRNA', 'Methylation')",OS,2,111,58,7,5
LUSC,"('Protein', 'mRNA', 'Methylation')",OS,3,72,71,7,5
OV,"('Protein', 'mRNA', 'Methylation')",OS,2,125,37,12,5
OV,"('Protein', 'mRNA', 'Methylation')",OS,3,96,58,8,8
OV,"('Protein', 'mRNA', 'Methylation')",OS,4,64,85,5,10
SARC,"('Protein', 'mRNA', 'Methylation')",OS,2,119,33,7,5
UCEC,"('Protein', 'mRNA', 'Methylation')",OS,1,235,13,72,5
UCEC,"('Protein', 'mRNA', 'Methylation')",OS,2,159,26,43,8
UCEC,"('Protein', 'mRNA', 'Methylation')",OS,3,109,35,25,12
UCEC,"('Protein', 'mRNA', 'Methylation')",OS,4,78,40,17,15
UCEC,"('Protein', 'mRNA', 'Methylation')",OS,5,50,42,13,15
GBMLGG,"('Protein', 'mRNA', 'Methylation')",OS,2,184,86,10,6
COADREAD,"('Protein', 'mRNA', 'Methylation')",OS,2,117,28,17,6
COADREAD,"('Protein', 'mRNA', 'Methylation')",OS,3,62,38,7,7
KIPAN,"('Protein', 'mRNA', 'Methylation')",OS,1,475,53,73,8
KIPAN,"('Protein', 'mRNA', 'Methylation')",OS,2,386,84,42,10
KIPAN,"('Protein', 'mRNA', 'Methylation')",OS,3,307,112,31,12
KIPAN,"('Protein', 'mRNA', 'Methylation')",OS,4,243,132,23,12
KIPAN,"('Protein', 'mRNA', 'Methylation')",OS,5,175,151,16,15
PanGI,"('Protein', 'mRNA', 'Methylation')",OS,2,191,116,20,9
PanGI,"('Protein', 'mRNA', 'Methylation')",OS,3,91,139,8,11
PanGyn,"('Protein', 'mRNA', 'Methylation')",OS,1,503,38,104,11
PanGyn,"('Protein', 'mRNA', 'Methylation')",OS,2,355,86,65,20
PanGyn,"('Protein', 'mRNA', 'Methylation')",OS,3,242,128,40,27
PanGyn,"('Protein', 'mRNA', 'Methylation')",OS,4,171,162,27,34
PanGyn,"('Protein', 'mRNA', 'Methylation')",OS,5,118,182,20,37
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,1,613,140,47,17
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,2,366,253,25,29
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,3,238,302,19,32
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,4,179,321,13,37
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,5,128,331,11,37
BRCA,"('Protein', 'mRNA', 'Methylation')",DSS,2,343,15,67,5
BRCA,"('Protein', 'mRNA', 'Methylation')",DSS,3,250,28,49,8
BRCA,"('Protein', 'mRNA', 'Methylation')",DSS,4,190,31,38,8
BRCA,"('Protein', 'mRNA', 'Methylation')",DSS,5,146,36,29,8
COAD,"('Protein', 'mRNA', 'Methylation')",DSS,2,82,12,15,5
COAD,"('Protein', 'mRNA', 'Methylation')",DSS,3,44,16,6,6
HNSC,"('Protein', 'mRNA', 'Methylation')",DSS,1,119,22,13,5
HNSC,"('Protein', 'mRNA', 'Methylation')",DSS,2,80,42,8,6
HNSC,"('Protein', 'mRNA', 'Methylation')",DSS,3,63,49,5,6
KIRC,"('Protein', 'mRNA', 'Methylation')",DSS,5,109,86,8,5
KIRP,"('Protein', 'mRNA', 'Methylation')",DSS,2,76,9,18,5
KIRP,"('Protein', 'mRNA', 'Methylation')",DSS,3,54,9,12,5
KIRP,"('Protein', 'mRNA', 'Methylation')",DSS,4,41,12,8,5
KIRP,"('Protein', 'mRNA', 'Methylation')",DSS,5,29,13,7,5
LUAD,"('Protein', 'mRNA', 'Methylation')",DSS,1,194,15,30,5
LUAD,"('Protein', 'mRNA', 'Methylation')",DSS,2,114,32,17,9
LUAD,"('Protein', 'mRNA', 'Methylation')",DSS,3,68,49,10,11
LUAD,"('Protein', 'mRNA', 'Methylation')",DSS,4,37,54,7,12
LUAD,"('Protein', 'mRNA', 'Methylation')",DSS,5,20,58,7,12
OV,"('Protein', 'mRNA', 'Methylation')",DSS,2,115,28,12,5
OV,"('Protein', 'mRNA', 'Methylation')",DSS,3,88,47,8,8
OV,"('Protein', 'mRNA', 'Methylation')",DSS,4,61,69,5,10
SARC,"('Protein', 'mRNA', 'Methylation')",DSS,2,116,28,7,5
UCEC,"('Protein', 'mRNA', 'Methylation')",DSS,2,158,15,43,7
UCEC,"('Protein', 'mRNA', 'Methylation')",DSS,3,108,21,25,10
UCEC,"('Protein', 'mRNA', 'Methylation')",DSS,4,78,24,17,12
UCEC,"('Protein', 'mRNA', 'Methylation')",DSS,5,50,25,13,12
GBMLGG,"('Protein', 'mRNA', 'Methylation')",DSS,2,177,81,10,6
COADREAD,"('Protein', 'mRNA', 'Methylation')",DSS,2,104,14,17,5
COADREAD,"('Protein', 'mRNA', 'Methylation')",DSS,3,53,18,7,6
KIPAN,"('Protein', 'mRNA', 'Methylation')",DSS,1,466,39,72,7
KIPAN,"('Protein', 'mRNA', 'Methylation')",DSS,2,378,62,41,9
KIPAN,"('Protein', 'mRNA', 'Methylation')",DSS,3,303,79,30,9
KIPAN,"('Protein', 'mRNA', 'Methylation')",DSS,4,239,93,22,9
KIPAN,"('Protein', 'mRNA', 'Methylation')",DSS,5,171,103,16,10
PanGI,"('Protein', 'mRNA', 'Methylation')",DSS,2,176,57,20,8
PanGI,"('Protein', 'mRNA', 'Methylation')",DSS,3,82,68,8,9
PanGyn,"('Protein', 'mRNA', 'Methylation')",DSS,1,486,22,104,10
PanGyn,"('Protein', 'mRNA', 'Methylation')",DSS,2,342,63,65,19
PanGyn,"('Protein', 'mRNA', 'Methylation')",DSS,3,232,99,40,25
PanGyn,"('Protein', 'mRNA', 'Methylation')",DSS,4,167,125,27,31
PanGyn,"('Protein', 'mRNA', 'Methylation')",DSS,5,115,141,20,34
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,1,575,78,45,13
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,2,344,150,25,22
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,3,224,179,19,22
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,4,168,191,13,26
PanSCCs,"('Protein', 'mRNA', 'Methylation')",DSS,5,119,196,11,26
BLCA,"('Protein', 'mRNA', 'Methylation')",PFI,1,151,72,6,9
BRCA,"('Protein', 'mRNA', 'Methylation')",PFI,1,514,17,112,5
BRCA,"('Protein', 'mRNA', 'Methylation')",PFI,2,347,35,65,8
BRCA,"('Protein', 'mRNA', 'Methylation')",PFI,3,252,51,49,9
BRCA,"('Protein', 'mRNA', 'Methylation')",PFI,4,186,60,37,12
BRCA,"('Protein', 'mRNA', 'Methylation')",PFI,5,137,70,29,12
COAD,"('Protein', 'mRNA', 'Methylation')",PFI,1,133,18,37,8
COAD,"('Protein', 'mRNA', 'Methylation')",PFI,2,77,34,12,12
HNSC,"('Protein', 'mRNA', 'Methylation')",PFI,1,114,40,13,6
HNSC,"('Protein', 'mRNA', 'Methylation')",PFI,2,79,56,7,8
HNSC,"('Protein', 'mRNA', 'Methylation')",PFI,3,63,60,5,8
KIRC,"('Protein', 'mRNA', 'Methylation')",PFI,1,277,69,31,5
KIRC,"('Protein', 'mRNA', 'Methylation')",PFI,2,222,96,19,7
KIRC,"('Protein', 'mRNA', 'Methylation')",PFI,3,181,107,14,7
KIRC,"('Protein', 'mRNA', 'Methylation')",PFI,4,136,117,10,9
KIRC,"('Protein', 'mRNA', 'Methylation')",PFI,5,89,123,5,10
KIRP,"('Protein', 'mRNA', 'Methylation')",PFI,1,105,14,32,8
KIRP,"('Protein', 'mRNA', 'Methylation')",PFI,2,67,21,16,11
KIRP,"('Protein', 'mRNA', 'Methylation')",PFI,3,44,25,10,11
KIRP,"('Protein', 'mRNA', 'Methylation')",PFI,4,32,27,6,11
KIRP,"('Protein', 'mRNA', 'Methylation')",PFI,5,23,28,5,11
LGG,"('Protein', 'mRNA', 'Methylation')",PFI,2,134,92,8,8
LUAD,"('Protein', 'mRNA', 'Methylation')",PFI,1,184,42,30,6
LUAD,"('Protein', 'mRNA', 'Methylation')",PFI,2,92,80,15,14
LUAD,"('Protein', 'mRNA', 'Methylation')",PFI,3,57,96,9,17
LUSC,"('Protein', 'mRNA', 'Methylation')",PFI,1,156,33,9,5
LUSC,"('Protein', 'mRNA', 'Methylation')",PFI,2,94,55,5,7
LUSC,"('Protein', 'mRNA', 'Methylation')",PFI,3,59,65,5,7
OV,"('Protein', 'mRNA', 'Methylation')",PFI,1,117,51,11,8
SARC,"('Protein', 'mRNA', 'Methylation')",PFI,1,110,65,9,5
SARC,"('Protein', 'mRNA', 'Methylation')",PFI,2,76,82,6,6
UCEC,"('Protein', 'mRNA', 'Methylation')",PFI,1,216,26,69,7
UCEC,"('Protein', 'mRNA', 'Methylation')",PFI,2,139,47,39,13
UCEC,"('Protein', 'mRNA', 'Methylation')",PFI,3,92,56,21,19
UCEC,"('Protein', 'mRNA', 'Methylation')",PFI,4,66,57,15,21
UCEC,"('Protein', 'mRNA', 'Methylation')",PFI,5,41,58,12,21
GBMLGG,"('Protein', 'mRNA', 'Methylation')",PFI,1,265,95,15,8
